Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,PT_FSP,PT_ISP,PT_IPP,PT_UTE,LinkNatProcess,LocaleName,LocaleNat,LatDec,LongDec,Mediator,MedCentState,MedRegState,MedLocState,MedLocArmed,MedReDomEld,MedLocCivSoc,MedIntActor,MedOtherUnclear,CentState,RegState,LocState,LocArmedGr,ReDomEld,LocComSoc,IntActor,OthActor,RitPray,Grieve,Cattle,Cover
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2372,5,Non-aggression and peaceful cohabitation pact between the disputing parties from Bamingui-Bangoran,27/08/2020,Multiparty signed/agreed,3,5099,SubPar,MultIss,"Signatory parties 
Conflicting parties

Adam Moctar, Atahir English 

The President of the National Defense and Security Council of the FPRC
Abdoulaye Hissen 

His Majesty, Common Sultan-Mayor of Dar-El-Kouti
Ibrahim Senoussi 

The Head of the MINUSCA Office, 
Dr. Pollock Ndonodji 

The President of the CMOP, Facilitator and Guarantor of the Prefecture of Bamingui-Bangoran
Francois Dieudonne Bata Wapi Yepi ",,"Page 1:
Reaffirming our commitment to respect the Political Agreement for Peace and Reconciliation in the Central African Republic (APPR-RCA) of February 6, 2019, in particular its articles 34 and 35.

Page 1:
Under the terms of this Pact 
a). Act of subversion means any act which incites, aggravates, or creates dissension within the FPRC with the intention or objective of destabilizing or creating insecurity, in particular by exacerbating racial, religious, linguistic, ethnic, and other differences, in violation of the Universal Declaration of Human Rights and the APPR-RCA;

Page 2:
b). Aggression means the use by one of the parties to this pact of armed force or any other hostile act, incompatible with the provisions of the APPR-RCA, and/or against the security of the civilian populations;  

Page 2:
Ill. Obligations / Commitments
Article 3
The parties undertake to 
a) Settle by peaceful means any dispute, in such a way that peace and security are not endangered, refrain in their relations from resorting to threats or the use of force in a manner incompatible with the APPR-RCA, and protect the civilian population in all circumstances  
...  
c) Scrupulously respect the five (05) points of the recommendations of the Executive Monitoring Committee (CES) of the APPR-RCA on the crisis in Ndele

Page 3: 
IV. Final provisions
Article 4
Any violation of this ""Pact"" is liable to expose the authors to national and international sanctions, per article 35 of the APPR-RCA as well as the relevant provisions of the decisions of the Peace and Security Council of the African Union and the Resolutions of the United Nations Security Council, in particular within the framework of their current sanctions regimes.
Article 5
The monitoring of this ""Pact"" is ensured by the CMOP, CTS, and MINUSCA per the Annex of the APPR-RCA points 5 and 6.
This ""Pact"" comes into force on the date of its signature by the parties.  
",CAF,,482,,416,NA,NA,NA,No,0,0,1,0,1,N'Délé,City,8.410006934,20.64906113,"Page 2:
Ill. Obligations / Commitments
Article 3
The parties undertake to 
...  
 d) Remain within the framework of the peace and reconciliation process initiated by the government and continued by the political and administrative authorities of Bamingui-Bangoran and MINUSCA in Ndele,

Page 3:
Article 5
The monitoring of this ""Pact"" is ensured by the CMOP, CTS, and MINUSCA per the Annex of the APPR-RCA points 5 and 6.

Page 3: 
Signatory parties 
...
The Head of the MINUSCA Office,
Dr. Pollock Ndonodji",0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2319,5,Accord de Ouadda,15/08/2020,Multiparty signed/agreed,1,1262,Cea,Rel,"The following military officials have signed this commitment:
CL ANAMO AHAMAT DAGACHE
COORDINATOR - BOURMA-GUIDJA
OUADDA CON-ZONE - HASSANE
COLONEL NARKOYO
COLONEL B13","The following officials were witnesses:
THE REPRESENTATIVE OF THE PRESIDENT OF THE ISLAMIC COMMITTEE OF BRIA -BRIA ISSAKHA-ABAKAR
THE PRESIDENT OF THE OUADDA ISLAMIC COMMITTEE - ABDOULAYE MAHAMOUD
THE MAYOR OF THE CITY OF OUADDA - [signature]
THE GREAT MOSQUE IMAM - [signature]
THE BORNOU MOSQUE IMAM - [signature]
WALDA CHEIKH DAHIYA - [signature]
HEAD OF THE GOULA - [signature]
HEAD OF THE SARA - [signature]
HEAD OF THE KARA OF BRIA - ADAM CHAIB
CMOP / MPC - ADAWI HASSAN
CTS / RPRC - YASSA ABDOULAYE
CTS / FPRC - ABDOULAYE MAHAMAT
HEAD OF THE ARABS - IBRAHIM ALMAHADI
MONITORING COMMITTEE- HADJIBANE HAMADINE, AMAT HASSANE DELEGE

Negotiated by the prefect of Haute-Kotto and with the support of MINUSCA",,CAF,,482,,416,NA,NA,NA,No,0,0,1,0,1,Ouadda,City,8.069155024,22.39543938,Negotiated by the prefect of Haute-Kotto and with the support of MINUSCA ,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2327,5,Joint Press Release,21/09/2019,Multiparty signed/agreed,1,1081,Cea,CeaMix,"Signatory parties:
FPRC
AUTO-DEFENSE GROUPS
SULTAN OF BAMINGUI
SULTAN OF VAKAGA
THE MISSION COORDINATOR",,,CAF,,482,,416,NA,NA,NA,No,0,0,1,0,0,Haute-Kotto,Region,7.412697,22.906706,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2417,6,“Procés Verbal” of the Kara-Goula meeting,30/08/2019,Multiparty signed/agreed,3,4595,SubPar,MultIss,"Le Rapporteur - Jérémie NADRE
Le Président de la séance - ABDRAMANE Ramadan

Noms des signateurs considérant comme derniere Pacte d'alliance entre la Communauté Goula et Kara le 30/08/2019 à Délémbé

Goula Community:
- El HADJE IBRAHIM ABDOULAYE. chef de race Goula
- MAHAMAT Katre. Conseiller municipal (C. Onandya)
- MAHAMAT Charfadine. chef de groupe village (Tiringoubu)
- MAHAMAT Charli. chef de groupe village (Onandya)
- SID AMAMAT. cherif chef de groupe village (Gordil)
Fait à Delembe le, 30/08/2019
IBRAHIM Abdoulaye 
[signature]

Communauté Kara:
- ABDRAHAMANE Ramadane. chef de race (Kara)
- BACKITE Karam. vice-president chef de race (Kara)
- ABDEL AZIZE Chaïb. Conseiller Communautaire
- ABDOULAYE DAOUD. chef de groupe village (Délémbe)
- AMAMAT Radjab. chef de village (ROKOTO)
Fait à Delembe le, 30/08/2019
[signature]
ABDRAHAMANE Ramadane",,,CAF,,482,,416,NA,NA,NA,No,1,0,0,0,0,Délémbé,Smaller,9.845728,22.648219,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2349,5,Recommendations of the Round Table on the Free Movement of People and Goods in Nana Gribizi,14/06/2019,Multiparty signed/agreed,4,5697,SubPar,MultIss,"LIST OF PARTICIPANTS AT THE NANA GRIBIZI ROUND TABLE

1 ABDOULAYE Mahamat - Prefect/MATD
2 AWAT Mahamat - Sub-prefect/Kaga Bandoro
3 Jean Gilbert GBANGOUDOU - Deputy Prefect/Members
4 GANAFEI Sylvain - FACA 
5 LENGBE Sylvanus - Head of Section
6 GOMONGO Wilfrid - Group leader, FACA
7 ABAKAR Ishmael - Com-zone, MPC
8 Abdel Doungous - Com-zone, MPC
9 Abdoulaye Ahamat - Com-zone FPRC
10 Abdelkader Hassan - CEMAT FPRC
11 WEBEGONA Laurent - ABLK coordinator
12 MAHAMAT Zen Com-zone - FPRC
13 Linguissa Gustave - ABLK com-zone
14 Mbetingou Fernand - ABLK com-zone 
15 Nekemale Mc Celestin - ABLK spokesperson
16 YAVOLA Dieudonne - ABLK com-zone
17 Maka marc - ABLK com-zone
18 Yves toena - ABLK com-zone 
19 NGUETEMALE Gauthier - ABLK com-zone
20 GAZAMODO Bertrand - Coordinator, ABLK, Mokom wing
21 Urban Bissafi Mokom Wing
22 Warafio Bilarmin Com-zone, Mokom Wing
23 Yamindi Ghislain Kaga Bandoro Antenna 75643960
24 Bissafi Gustave ABLK com-zone
25 Ndibizi Max - States Major, ABLK 75754141
26 Bouninga Kola Symphorien - CC, ABLK
27 Maba Alexis - Com-zone, Ouandago, ABLK
28 Moussa Paoud - Iman, Mbres 
29 Nguinza Rebecca - OFCA 
30 Bruce Kevin DJAYE - Priest Catholic Church, Mbres
31 SEMANDELE Olga - Female Leaders
32 NOURRADINE Hissene - Muslim civil society, Kaga","Local authorities
MINUSCA","Page 2, III. Cohabitation and cooperation between the Regular Forces (FACA / FSI) and
armed groups
6. Participants suggested working in the spirit of the APPR-RCA.

Page 3, VI. Management of transhumance
12. The rapid establishment of the USMS to secure the transhumance corridors, as provided for by the APPR-RCA,",CAF,,482,,416,N/A,N/A,N/A,No,1,0,0,0,1,Nana Gribizi,Region,6.99489,19.1857,"'The local authorities, supported by MINUSCA, have set up a framework for mediation, bringing together the main parties to find lasting solutions.' ",0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2329,5,Commitment note ,18/05/2019,Multiparty signed/agreed,1,975,SubPar,MultIss,"Signatory parties:
Com-Zone UPC Amadou-Sallet
Anti-G Balakas CB Edmond Obrou
MINUSCA captain in Tagbara
The mayor of Oron Djafoune Seni-Maloum
The mayor",,"Page 1, 
We: Edmond Obrou, CB of the Anti-Balaka in Mambissi AND Amadou-Sallet, Colonel of the UPC in Tagbara 
- Commit to respecting the Khartoum agreements on peace, social cohesion, and cohabitation.",CAF,,482,,416,NA,NA,NA,No,0,0,0,1,1,N/A,Other,5.890532,21.10151,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2352,5,Declaration of the Inclusive Intra and Inter-Communal Reconciliation Forum in Haute Kotto,24/04/2019,Multiparty signed/agreed,1,3479,SubPar,MultIss,"FOR THE VARIOUS ETHNICAL GROUPS:
1. BANDA: SAMBA Rene
2. SARA: DJOUMA Felix
3. ROUNGA: DJIBRINE Youssouf
4. GOULA: El Hadj ABAKAR B.O
5. KARA: FOTOR Doungous
6. YOULOU: ALBAKOUS Philippe
7. NZAKARA: SALANGA Evariste
8. BORNOU: BOUKAR Moustapha
9. HAOUSSA: RABILOU Mahamat
10. ARABIC: ATAHIR Ousmane
11. PEUHL: AMAT Ali Bobiri
12. CMOP: Mle. CHAFARDINE Victorien
13. CTS: Adjt Chef MAHAMAT Sallet Soumaine

FOR THE FORUM OFFICE:
President: Mr. BINGUINENDJI Thierry Evariste, Prefecture of Haute Kotto
Vice-President: Mr. YOUNOUS Moussa AYATE, Sub-Prefecture of Bria

Rapporteurs:
Mr. MALICK ADoum, Head of PCA de Sam Ouandja
Mr. LEMERCIER Andre, Principal Lycee Djalle Bria 

For the Religious Platform
1. For the Catholic Church - Abbe Bruno Stephanie KOMGBO
2. For Protestants: Pastor Auguste NGBANDE
3. For Islam: Ousmane Ali

For MINUSCA
Mr. Imtiaz Hussein

Representatives of the following armed groups were present at this Forum:
1. FPRC/MemberCTS [signature]
2. UPC/Member CTS [signature]
3. MPC/Member CTS [signature]
4. RPRC/Member CTS [signature]
5. MLJC/Member CTS [signature]
6. ANTI-BALAKA/Member CTS [signature]",,"Page 1, Untitled Preamble
Considering that the various Peace Agreements and Roadmaps, signed by the Armed Groups present in Haute Kotto, have not had a positive impact on peace and cohabitation between the daughters and sons of the region; Considering that the confidence-building measures signed on April 9, 2019, between the 6 armed groups present in Bria, constitute a major step towards the quest for peace and reconciliation between the daughters and sons of Haute Kotto;...

Page 2, Actions or Recommendations
5. Enforce strict compliance with the commitments made by the Armed Groups when signing the various local Agreements and Confidence-Building Measures, including the Khartoum Accord",CAF,,482,,416,NA,NA,NA,No,1,0,0,0,1,Haute Kotto,Region,7.412697,22.906706,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2351,5,Confidence Measures between the 6 armed Groups of Haute Kotto,09/04/2019,Multiparty signed/agreed,1,846,SubPar,MultIss,"Signatory parties:
The FPRC 
The RPRC
UPC
The MPC
The MLCJ
MOKOM Wing Anti Balaka",,Khartoum Agreement (Political Agreement for Peace and Reconciliation in the Central African Republic (Khartoum Accord)),CAF,,482,,416,NA,NA,NA,No,0,0,1,0,1,"Bria, Haute Kotto",Region,6.5304111,21.9846725,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2350,5,Commitment between the 6 Armed Groups of Haute Kotto,09/04/2019,Multiparty signed/agreed,3,5788,SubPar,MultIss,"Page 1: 
For the Parties
Ousta Alia The FPRC
Mine Joseph The RPRC
Amadou Garba The UPC
Amat Faya The MPC 
Achafi Daoud Assabour The MLCJ 
Plenga Thierry alias Bokassa MOKOM Wing Anti Balaka","Page 1: 
Witnesses
Binguinedji Thierry Evariste Prefect of Haute Kotto 
YOunous MoussaAyat Sub-prefect of Bria 
BalekouZou Maurice  mayor of the town of Bria 

Page 3: 
The representative of the HD Center 
Representative of MINUSCA

The agreement also lists (Page 3) the Prefect of Haute Kotto, and the Prefectural Committee for the Implementation of the Khartoum Accord as taking part in monitoring alongside the signed third parties. ","Page 1: 
previous initiatives taken by the international community to establish a negotiated settlement of hostilities in the CAR, Signed on April 23, 2014
initiatives of September 21 and December 19, 2017, Bria
Political Agreement for Peace and Reconciliation in the Central African Republic between the government and armed groups, signed on February 6, 2019",CAF,,482,,416,NA,NA,NA,No,0,0,1,0,1,Haute Kotto,Region,7.5765257,23.0140212,"MINUSCA, HD Centre ",0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0
Central African Republic,Inter-group,155,CAR: Local Processes,Africa (excl MENA),2348,5,"Good neighborliness and Community Reconciliation Agreement between the Communities of Castors, Yakite, Sara, Yalowa, Camerounais Douala, and Sanga-Bibale",23/03/2019,Multiparty signed/agreed,2,5105,SubPar,MultIss,"MAIN ACTOR FOR PEACE. YAKITE BRIDGE Moussa Danda 

MAIN ACTOR FOR PEACE. CASTORS Nathael Wandessere 

YAKITE YOUTH REPRESENTATIVE Abdrahman Ibrahim 

CASTOR YOUTH REPRESENTATIVE Fabrice Dekoua 

YAKITE WOMEN REPRESENTATIVE Oumoul Hair Abdouahman

CASTOR WOMEN REPRESENTATIVE Alphonsine Lakoue 

YAKITE RELIGIOUS LEADER Imam Oumar Sarako

CASTOR RELIGIOUS LEADER Abbe Julien Mokasse ","WITNESSES

TOWN HALL 3rd ARRONDISSEMENT Yakite Sosthene 

MINUSCA Kenny Gluck 

MINISTRY OF HUMANITARIAN ACTION AND NATIONAL RECONCILIATION Balkoua Virginie 

LOCAL PEACE AND RECONCILIATION COMMITTEE 3rd DISTRICT OF BANGUI [illegible]","Page 1: 
Political Agreement for Peace and Reconciliation in the Central African Republic",CAF,,482,,NA,NA,NA,NA,No,0,0,1,0,1,"Bangui, 3rd Arrondissement",Smaller,4.372768,18.5464219,The agreement consistently refers to the central role of MINUSCA in the negotiations and in supporting implementation. ,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0
